event_id,sensor_id,time
55000,90,77.43534
55000,178,211.93321
55000,444,16.6525
55000,833,47.08855
55000,1010,99.78545
55000,1557,27.13516
55000,1861,81.90403
55000,1914,25.929886
55000,2613,60.181324
55000,2759,53.12633
55000,2818,24.27342
55000,3126,41.902157
55000,3173,32.070503
55000,3228,61.20569
55000,3289,13.033044
55000,3505,60.28252
55000,3875,15.797534
55000,3936,18.823145
55000,4467,10.089653
55000,4531,8.5904045
55000,5633,16.289534
55000,5720,44.87307
55000,5760,97.04136
55000,5949,22.50158
55000,6254,33.12258
55000,6258,29.20236
55000,6900,67.46342
55000,6940,51.483475
55000,7157,172.24373
55000,7241,9.408502
55000,7389,75.477066
55000,7464,46.38709
55000,7589,13.822071
55000,7740,62.218357
55000,7994,139.57806
55000,8525,19.036919
55000,8720,65.94498
55000,8743,20.414108
55000,9071,53.330338
55000,9242,10.089422
55000,9464,106.97483
55000,9585,38.43726
55000,9876,138.02066
55000,10130,64.206085
55000,10948,56.59574
55000,10977,51.011944
55000,11238,159.15326
55000,12572,22.924328
55000,12572,27.687635
55000,12789,65.90083
55000,12869,91.773285
55000,12948,31.361393
55000,13150,8.043
55000,13322,12.367205
55000,13372,16.22765
55000,13499,67.00951
55000,14107,8.490029
55000,14930,14.474315
55000,15501,43.680298
55000,15889,57.463078
55000,16586,84.91085
55000,17668,20.39831
55000,17845,91.263695
55000,17867,227.8579
55000,17894,153.41907
55000,18036,62.64281
55000,18199,15.008503
55000,18310,31.802773
55000,18527,38.858658
55000,19015,19.44669
55000,19481,10.087479
55000,19871,31.505463
55000,20000,41.4693
55000,20211,111.72842
55000,20426,15.534668
55000,20516,8.537242
55000,20718,20.503016
55000,20766,18.7507
55000,20884,39.024666
55000,20915,47.508694
55000,21126,67.2396
55000,21321,29.02442
55000,21372,14.28861
55000,21531,31.534098
55000,21673,38.873028
55000,21856,8.904736
55000,22222,10.352919
55000,22413,26.092644
55000,22508,13.100685
55000,22715,46.409008
55000,22938,25.495008
55000,23202,16.817835
55000,23238,95.77671
55000,23405,62.14313
55000,23406,7.2630134
55000,23446,36.860977
55000,23506,9.415769
55000,23724,36.91597
55000,23840,44.363777
55000,23915,25.096445
55000,23922,49.129337
55000,24011,36.973743
55000,24105,118.831406
55000,24215,76.26062
55000,24289,8.173862
55000,24355,85.00134
55000,24366,19.16519
55000,24558,150.06868
55000,24771,61.09892
55000,24783,87.87436
55000,24785,7.4169602
55000,24803,76.9873
55000,24930,47.18147
55000,24939,8.704153
55000,25096,43.281033
55000,25239,66.166695
55000,25403,47.747265
55000,25481,25.759884
55000,25851,21.145811
55000,25945,78.93698
55000,26007,14.002273
55000,26120,34.589607
55000,26197,78.20651
55000,26267,5.069213
55000,26289,100.009575
55000,26303,84.57916
55000,26472,16.26827
55000,26513,260.82132
55000,26739,91.98632
55000,26846,52.1978
55000,26896,111.6243
55000,26905,136.83722
55000,26923,8.3052225
55000,27063,22.217031
55000,27072,20.424015
55000,27094,49.541542
55000,27098,124.42852
55000,27176,96.64855
55000,27245,17.53671
55000,27280,12.427346
55000,27329,37.73943
55000,27336,87.35074
55000,27466,69.024605
55000,27544,8.094709
55000,27553,26.888004
55000,27617,124.57386
55000,27647,10.106629
55000,27658,70.60113
55000,27704,26.262222
55000,27776,55.458103
55000,27801,83.67858
55000,27816,5.3551035
55000,27943,102.28907
55000,27949,207.24715
55000,28020,104.545906
55000,28057,52.016006
55000,28113,139.35132
55000,28241,21.270199
55000,28333,8.438623
55000,28348,46.592525
55000,28357,98.01173
55000,28358,18.75149
55000,28361,18.870258
55000,28366,72.84917
55000,28372,71.15134
55000,28469,221.34593
55000,28499,86.734344
55000,28502,28.877556
55000,28517,13.839909
55000,28543,96.63769
55000,28620,5.4227853
55000,28638,5.7392387
55000,28642,112.937935
55000,28673,50.65303
55000,28679,55.454067
55000,28741,17.871384
55000,28761,23.747568
55000,28764,13.890253
55000,28765,16.626005
55000,28765,40.025204
55000,28767,55.93925
55000,28774,39.517056
55000,28779,42.79906
55000,28783,8.533645
