sensor_id,x,y,z
180,-7.0039515,392.3375,-227.5
181,-7.0039515,392.3375,-220.5
182,-7.0039515,392.3375,-213.5
183,-7.0039515,392.3375,-206.5
184,-7.0039515,392.3375,-199.5
185,-7.0039515,392.3375,-192.5
186,-7.0039515,392.3375,-185.5
187,-7.0039515,392.3375,-178.5
188,-7.0039515,392.3375,-171.5
189,-7.0039515,392.3375,-164.5
190,-7.0039515,392.3375,-157.5
191,-7.0039515,392.3375,-150.5
192,-7.0039515,392.3375,-143.5
193,-7.0039515,392.3375,-136.5
194,-7.0039515,392.3375,-129.5
195,-7.0039515,392.3375,-122.5
196,-7.0039515,392.3375,-115.5
197,-7.0039515,392.3375,-108.5
198,-7.0039515,392.3375,-101.5
199,-7.0039515,392.3375,-94.5
200,-7.0039515,392.3375,-87.5
201,-7.0039515,392.3375,-80.5
202,-7.0039515,392.3375,-73.5
203,-7.0039515,392.3375,-66.5
204,-7.0039515,392.3375,-59.5
205,-7.0039515,392.3375,-52.5
206,-7.0039515,392.3375,-45.5
207,-7.0039515,392.3375,-38.5
208,-7.0039515,392.3375,-31.5
209,-7.0039515,392.3375,-24.5
210,-7.0039515,392.3375,-17.5
211,-7.0039515,392.3375,-10.5
212,-7.0039515,392.3375,-3.5
213,-7.0039515,392.3375,3.5
214,-7.0039515,392.3375,10.5
215,-7.0039515,392.3375,17.5
216,-7.0039515,392.3375,24.5
217,-7.0039515,392.3375,31.5
218,-7.0039515,392.3375,38.5
219,-7.0039515,392.3375,45.5
220,-7.0039515,392.3375,52.5
221,-7.0039515,392.3375,59.5
222,-7.0039515,392.3375,66.5
223,-7.0039515,392.3375,73.5
224,-7.0039515,392.3375,80.5
225,-7.0039515,392.3375,87.5
226,-7.0039515,392.3375,94.5
227,-7.0039515,392.3375,101.5
228,-7.0039515,392.3375,108.5
229,-7.0039515,392.3375,115.5
230,-7.0039515,392.3375,122.5
231,-7.0039515,392.3375,129.5
232,-7.0039515,392.3375,136.5
233,-7.0039515,392.3375,143.5
234,-7.0039515,392.3375,150.5
235,-7.0039515,392.3375,157.5
236,-7.0039515,392.3375,164.5
237,-7.0039515,392.3375,171.5
238,-7.0039515,392.3375,178.5
239,-7.0039515,392.3375,185.5
240,-7.0039515,392.3375,192.5
241,-7.0039515,392.3375,199.5
242,-7.0039515,392.3375,206.5
243,-7.0039515,392.3375,213.5
244,-7.0039515,392.3375,220.5
245,-7.0039515,392.3375,227.5
246,-7.0039515,392.3375,234.5
247,-7.0039515,392.3375,241.5
248,-7.0039515,392.3375,248.5
249,-7.0039515,392.3375,255.5
250,-7.0039515,392.3375,262.5
251,-7.0039515,392.3375,269.5
252,-7.0039515,392.3375,276.5
253,-7.0039515,392.3375,283.5
254,-7.0039515,392.3375,290.5
255,-7.0039515,392.3375,297.5
256,-7.0039515,392.3375,304.5
257,-7.0039515,392.3375,311.5
258,-7.0039515,392.3375,318.5
259,-7.0039515,392.3375,325.5
260,-7.0039515,392.3375,332.5
261,-7.0039515,392.3375,339.5
262,-7.0039515,392.3375,346.5
263,-7.0039515,392.3375,353.5
264,-7.0039515,392.3375,360.5
265,-7.0039515,392.3375,367.5
266,-7.0039515,392.3375,374.5
267,-7.0039515,392.3375,381.5
268,-7.0039515,392.3375,388.5
269,-7.0039515,392.3375,395.5
270,-7.0039515,392.3375,402.5
271,-7.0039515,392.3375,409.5
272,-7.0039515,392.3375,416.5
273,-7.0039515,392.3375,423.5
274,-7.0039515,392.3375,430.5
275,-7.0039515,392.3375,437.5
276,-7.0039515,392.3375,444.5
277,-7.0039515,392.3375,451.5
278,-7.0039515,392.3375,458.5
279,-7.0039515,392.3375,465.5
280,-7.0039515,392.3375,472.5
281,-7.0039515,392.3375,479.5
282,-7.0039515,392.3375,486.5
283,-7.0039515,392.3375,493.5
284,-14.0056715,392.14996,-493.5
285,-14.0056715,392.14996,-486.5
286,-14.0056715,392.14996,-479.5
287,-14.0056715,392.14996,-472.5
288,-14.0056715,392.14996,-465.5
289,-14.0056715,392.14996,-458.5
290,-14.0056715,392.14996,-451.5
291,-14.0056715,392.14996,-444.5
292,-14.0056715,392.14996,-437.5
293,-14.0056715,392.14996,-430.5
294,-14.0056715,392.14996,-423.5
295,-14.0056715,392.14996,-416.5
296,-14.0056715,392.14996,-409.5
297,-14.0056715,392.14996,-402.5
298,-14.0056715,392.14996,-395.5
299,-14.0056715,392.14996,-388.5
300,-14.0056715,392.14996,-381.5
301,-14.0056715,392.14996,-374.5
302,-14.0056715,392.14996,-367.5
